Generic name,Dose,Safe dose,Geriatric dose,Class,Most common use,Mechanism of action,Adverse reactions,Contraindications,Nursing implications,Patient teaching
methotrexate,,,,"antineopalstic agent, antimetabolite, immunosuppresant","oncology: acute lymphoblastic leukemia, breast cancer, cutaneous T-cell lymphoma, gestational trohpoblastic neoplasia, head and neck cancer, mengingeal leukemia
non oncology: rheumatoid arhtritis, psoriasis, polarticular juvenile idiopathic arthritiis","Methotrexate is a folate antimetabolite that inhibits DNA synthesis, repair, and cellular replication. Methotrexate binds to and inhibits dihydrofolate reductase, inhibiting the formation of reduced folates, and thymidylate synthetase, resulting in inhibition of purine and thymidylic acid synthesis, thus interfering with DNA synthesis, repair, and cellular replication. Methotrexate is cell cycle specific for the S phase of the cycle. Actively proliferative tissues are more susceptible to the effects of methotrexate.

The mechanism in the treatment of rheumatoid arthritis and polyarticular-course juvenile idiopathic arthritis is unknown, but may affect immune function. In psoriasis, methotrexate is thought to target rapidly proliferating epithelial cells in the skin.

In Crohn disease, it may have immune modulator and anti-inflammatory activity.
","Dermatologic toxicity, GI toxicity, hematologic toxicity, hepatotoxicitiy, infection, nephrotoxicity, neurotixicity, pulmonary toxicity","pregnancy, alcoholism, alcoholic liver disease or other chronic liver disease, immnuodeficiency syndormes, prexisting lbood dyscrasias","Check ordered labs and report any abnormalities. Monitor for and educate patient to report signs of pneumonitis (dry, nonproductive cough), gastrointestinal toxicities (blood in stool or vomit, black, tarry stools, mucositis, or mouth ulcers), dermatological effects (radiation recall and photosensitivity), signs of renal failure (decreased urine output, or dark, tea-colored urine), and signs of liver failure (lethargy, decreased appetite, right upper quadrant pain, or yellowing of skin or eyes).. Instruct patient on importance of limited alcohol intake during treatment.",
Metoclopramide,10mg,10mg q4-6hr,,"antiemetic, dopamine antagonist, gastrointestninal agent, prokinetic, serotonin receptor agonist","injection: nausea, gastroparesis
nasal: gastroparesis
oral: GERD, gastroparesis ","blocks dopamine receptors and serotoninc repcetors in CNS
enhances response to Ach in tissue in upper GI to cause motility wihtout stimulating gastric, billiary or pancreatic secretions and increase lower esophageal sphincter tone ","CNS depression
Extrapyramidal symptoms (acute dystonia, parkinsonism, akathesia, neuroleptic malginant syndrome, tardive dyskensia)
Hyperprolactinemia (may suprress hypothalamic GnRH -> inhibit reproductive function)","GI perforation, obstruction or hemmorage that may be dangerous

history of EPS","monitor vital signs
check for missed menses, enlarged breasts or discharge",risk of falls
metronidazole (flagyl),,Oral: 500 to 750 mg 3 times daily for 10 days,,"Amebicide; Antibiotic, Miscellaneous; Antiprotozoal, Nitroimidazole","amebiasis, anaerobic bacterial infections, surgical prophylaxis, trichomoniasis","After diffusing into the organism, interacts with DNA to cause a loss of helical DNA structure and strand breakage resulting in inhibition of protein synthesis and cell death in susceptible organisms","CNS effects
​Disulfiram-like reaction
Limited cases of disulfiram-like reactions with metronidazole have been reported in the literature in both adults and pediatric patients when used with alcohol (Ref). Of note, literature reviews have noted limited clinical data supporting this reaction and suggest that the risk of such a reaction is unclear (Ref). The proposed mechanism is inhibition of aldehyde dehydrogenase), which results in the accumulation of aldehydes (Ref). In one case report, onset was rapid, occurring after 2 days (Ref). No risk factors have been identified.","Hypersensitivity to metronidazole, nitroimidazole derivatives, or any component of the formulation; pregnant patients (first trimester) with trichomoniasis; use of disulfiram within the past 2 weeks; use of alcohol or propylene glycol-containing products during therapy or within 3 days of therapy discontinuation

Canadian labeling: Additional contraindications (not in the US labeling): Active neurological disorders; history of blood dyscrasia; hypothyroidism; hypoadrenalism","Check ordered labs and report abnormalities. Monitor for severe or bloody diarrhea and send a specimen to the lab for C. difficile. Teach patient importance of avoiding alcohol during therapy. Monitor for improvement with infection. Monitor patient for numbness or paresthesia of extremities, seizures, or other CNS abnormalities; instruct patient to report. Counsel hemodialysis patients to take medicine after their sessions on dialysis days rather than in the morning.",
momentasone,50mcgg/spray,2 sprays 100mcg in each nostril max 200mcg,,"corticosteroid, nasal","allergic rhinits, nasal congesion associated with allergic rhinitis, nasal polyps","May depress the formation, release, and activity of endogenous chemical mediators of inflammation (kinins, histamine, liposomal enzymes, prostaglandins). Leukocytes and macrophages may have to be present for the initiation of responses mediated by the above substances. Inhibits the margination and subsequent cell migration to the area of injury, and also reverses the dilatation and increased vessel permeability in the area resulting in decreased access of cells to the sites of injury.

","infection, headache, blood in nasal mucosa",,"Check growth with long-term use in pediatric patients. Monitor patients for signs of infection. Instruct patient to have regular eye exams and to report any vision changes.
Don't spray into septum",
Naloxone,,"IV, IM, SUBQ: Initial: 0.4 to 2 mg; may need to repeat doses every 2 to 3 minutes. A lower initial dose (0.1 to 0.2 mg) should be considered for patients with opioid dependence to avoid acute withdrawal or if there are concerns regarding concurrent stimulant overdose (Mokhlesi 2003). After reversal, may need to readminister dose(s) at a later interval (ie, 20 to 60 minutes) depending on type/duration of opioid. If no response is observed after 10 mg total, consider other causes of respiratory depression. Note: May be given endotracheally (off-label route) as 2 to 2.5 times the initial IV dose (ie, 0.8 to 5 mg) (AHA [Neumar 2010]).

IM, SUBQ: Evzio: 2 mg (contents of 1 auto-injector) as a single dose; may repeat every 2 to 3 minutes until emergency medical assistance becomes available.",,Antidote; Opioid Antagonist,"Opioid overdose: For the complete or partial reversal of opioid depression (including respiratory depression) induced by natural and synthetic opioids (eg, propoxyphene, methadone, nalbuphine, butorphanol, pentazocine). Naloxone is also indicated for the diagnosis of suspected or known acute opioid overdosage.

Evzio (IM, SUBQ), intranasal: For the emergency treatment of known or suspected opioid overdose as manifested by respiratory and/or CNS depression. Intended for immediate administration as emergency therapy in settings where opioids may be present. Not a substitute for emergency medical care.
","
Pure opioid antagonist that competes and displaces opioids at opioid receptor sites","Cardiovascular: Flushing (parenteral), hypertension, hypotension, presyncope (nasal), tachycardia, ventricular fibrillation, ventricular tachycardia

Dermatologic: Diaphoresis, piloerection, xeroderma (nasal)

Endocrine & metabolic: Hot flash (parenteral)

Gastrointestinal: Abdominal cramps, abdominal pain (nasal), constipation (nasal), diarrhea, nausea, toothache (nasal), vomiting

Local: Erythema at injection site (parenteral), injection site reaction

Nervous system: Agitation, body pain, coma, confusion (parenteral), disorientation (parenteral), dizziness, encephalopathy, excessive crying (neonates), hallucination (parenteral), headache (nasal), hyperreflexia (neonates), irritability, nervousness, outbursts of anger (parenteral), paresthesia (parenteral), restlessness, seizure (neonates), shivering, tonic-clonic epilepsy (parenteral), withdrawal syndrome, yawning

Neuromuscular & skeletal: Asthenia, muscle spasm (nasal), musculoskeletal pain (nasal), tremor

Respiratory: Dry nose (nasal), dyspnea, hypoxia (parenteral), nasal congestion (nasal), nasal discomfort (pain; nasal), nasal mucosa swelling (nasal), pulmonary edema, respiratory depression (parenteral), rhinitis (nasal), rhinorrhea, sneezing

Miscellaneous: Fever",Hypersensitivity to naloxone or any component of the formulation,Monitor vital signs as ordered. Teach patient and family/caregiver how to administer for opioid overdose. Educate patient about need to seek medical care immediately after administration. Monitor for symptoms of acute withdrawal.,
Nicotine inhaler,,"nitial treatment: 6 to 16 cartridges/day (at least 6 cartridges/day for the first 3 to 6 weeks) for up to 12 weeks; maximum: 16 cartridges/day. Note: Best effect achieved with frequent continuous puffing (20 minutes). Use beyond 6 months is not recommended (has not been studied). If patient is unable to stop smoking by the fourth week of therapy, consider discontinuation.

Discontinuation of therapy: After initial treatment, gradually reduce daily dose over 6 to 12 weeks. Some patients may not require gradual reduction of dosage and may stop treatment abruptly.",,Smoking Cessation Aid,Smoking cessation: Treatment to aid smoking cessation for the relief of nicotine withdrawal symptoms (including nicotine craving),"Nicotine, a naturally occurring alkaloid, binds stereo-selectively to nicotinic-cholinergic receptors at the autonomic ganglia, in the adrenal medulla, at neuromuscular junctions, and in the brain. Two types of CNS effects are believed to be the basis of nicotine's positively reinforcing properties; a stimulating effect is exerted mainly in the cortex via the locus ceruleus and a reward effect is exerted in the limbic system. At low doses the stimulant effects predominate while at high doses the reward effects predominate.
","Central nervous system: Headache (18% to 26%)

Gastrointestinal: Oral irritation (≤66%), dyspepsia (18%)

Respiratory: Nasal discomfort (94%), throat irritation (≤66%), cough (32%), rhinitis (23%)","Hypersensitivity to nicotine or any component of the formulation.

OTC labeling: Nicorette lozenge: When used for self-medication, do not use if you are allergic to soya.","Monitor cardiac status and vital signs prior to, when beginning, and periodically during therapy.",
OLANZapine tab,,"Acute mania, acute episodes with mixed features (labeled use), and acute hypomania (off-label use) (monotherapy or adjunctive therapy): Oral: Initial: 10 to 15 mg once daily; may increase dose based on response and tolerability in 5 mg increments at intervals of ≥1 day up to 20 mg/day (maximum per manufacturer's labeling); however, experts suggest some patients may require doses up to 50 mg/day for optimal response (CANMAT [Yatham 2018]; Citrome 2009; Stovall 2019).

Bipolar major depression, acute (alternative agent; monotherapy or adjunctive therapy) (off-label, except labeled use as adjunctive to fluoxetine): Oral: Initial: 5 mg once daily; may increase dose based on response and tolerability in 5 mg increments at intervals of every 1 to 7 days up to 15 mg/day (adjunctive therapy) or up to 20 mg/day (monotherapy) (Brown 2006; Shelton 2019; Tohen 2003, Tohen 2012; Wang 2014; WFSBP [Grunze 2010]). A fixed-dose olanzapine/fluoxetine combination may be used instead of separate components. See “Dosing Conversion” below.

Maintenance treatment (monotherapy [labeled use for mania or episodes with mixed features; off-label use for depression episodes] or adjunctive therapy [off-label use]): Note: Continue dose and combination regimen that was used to achieve control of the acute episode (CANMAT [Yatham 2018]).

Oral: Usual dose: 5 to 20 mg/day; maximum dose: 20 mg/day (manufacturer's labeling); however, for patients who required doses up to 50 mg/day to achieve remission, continue remission-achieving dose, as tolerated (Stovall 2021).",,Antimanic Agent; Second Generation (Atypical) Antipsychotic,"Agitation/Aggression (acute) associated with psychiatric disorders (short-acting IM): Treatment of acute agitation associated with schizophrenia and bipolar I mania.

Bipolar disorder (oral): Treatment of acute mania, acute episodes with mixed features of bipolar I disorder (as monotherapy or in combination with lithium or valproate), and maintenance treatment; treatment of bipolar depression in combination with fluoxetine.

Major depressive disorder (unipolar), treatment resistant (oral): Treatment of treatment-resistant depression in combination with fluoxetine.

Schizophrenia (oral, ER IM): Treatment of the manifestations of schizophrenia.","Olanzapine is a second generation thienobenzodiazepine antipsychotic which displays potent antagonism of serotonin 5-HT2A and 5-HT2C, dopamine D1-4, histamine H1, and alpha1-adrenergic receptors. Olanzapine shows moderate antagonism of 5-HT3 and muscarinic M1-5 receptors, and weak binding to GABA-A, BZD, and beta-adrenergic receptors. Although the precise mechanism of action in schizophrenia and bipolar disorder is not known, the efficacy of olanzapine is thought to be mediated through combined antagonism of dopamine and serotonin type 2 receptor sites. Olanzapine’s activity at the dopamine (D2), 5-HT2C, and 5-HT3 receptors may be responsible for the antiemetic effect (Navari 2016).","​Anticholinergic effects
​Dyslipidemia
​Extrapyramidal symptoms
​Hematologic abnormalities
​Hyperglycemia
​Hypersensitivity reactions
​Mortality in older patients
​Neuroleptic malignant syndrome
​Orthostatic hypotension
​Post-injection delirium/sedation syndrome
​QT prolongation
​Sedation
​Sexual dysfunction
​Temperature dysregulation
​Weight gain",Hypersensitivity to olanzapine or any component of the formulation,"heck ordered labs and vitals; report abnormalities. Instruct patients with diabetes to monitor blood glucose levels closely; may cause hyperglycemia. Monitor for and instruct patient to report signs of extrapyramidal symptoms, constipation, suicide ideation, sedation, CNS changes, and neuroleptic malignant syndrome (fever, muscle rigidity, confusion). Monitor weight prior to initiating therapy and at all follow-up visits. Educate regarding risk of acute dystonia and priapism which require urgent medical care. Extended release IM injection: Monitor patient closely for sedation and/or delirium for at least 3 hours after each dose.

",
Ondasetron,4-8mg,"IV 4-8mg
oral 8mg TID",,"antiemetic, selective Serotonin receptor antagonist",nausea vomitting,blocks serotonin ,"constipation
headache
hypersensitivity
QT prolongation","concomitant use with apomorphine

drugs that prolong QT internval",,
Ondasetron,4-8mg,"IV 4-8mg
 oral 8mg TID",,"antiemetic, selective Serotonin receptor antagonist",nausea vomiting,blocks serotonin,"constipation
 headache
 hypersensitivity
 QT prolongation","concomitant use with apomorphine
 
 drugs that prolong QT interval",,
oxycoDONE,,"Oral: Initial: 5 to 10 mg every 4 to 6 hours as needed; dosing range: 5 to 15 mg every 4 to 6 hours (APS 2016b). Start at the lower end of dosing range for opioid-naive patients. For acute pain use for ≤3 to 7 days (CDC [Dowell 2016]).


below is for ER
Opioid naive (on an IR opioid for <7 days):

Initial:

ER tablet: 10 mg every 12 hours

ER capsules: 9 mg every 12 hours

Conversion from other oral oxycodone formulations to oxycodone ER: Initiate oxycodone ER with 50% of the total daily oral oxycodone daily dose (mg/day) administered every 12 hours.

Conversion from other opioids to oxycodone ER: Discontinue all other around-the-clock opioids when oxycodone ER is initiated. Initiate with 10 mg (ER tablets) or 9 mg (ER capsules) every 12 hours. Substantial interpatient variability exists due to patient specific factors, relative potency of different opioids, and dosage forms; therefore, it is preferable to decrease the initial 24-hour oral oxycodone requirements by 30% to 50% and increase the dose if needed based on utilization of rescue medication (IR opioid) and accounting for other clinical factors (eg, tolerability, organ function) (APS 2016a).",,"Analgesic, Opioid","Pain management:

Immediate-release formulations: Management of acute or chronic moderate to severe pain where the use of an opioid analgesic is appropriate and for which alternative treatments are inadequate.

","Binds to opiate receptors in the CNS, causing inhibition of ascending pain pathways, altering the perception of and response to pain; produces generalized CNS depression","Central nervous system: Drowsiness (extended-release: 9% to 23%, extended-release, adolescents: 1% to <5%; immediate-release: ≥3%), headache (extended-release: 14%; immediate-release: ≥3%), dizziness (extended-release: 2% to 13%; immediate-release: ≥3%)

Dermatologic: Pruritus (extended-release: 3% to 13%; immediate-release: ≥3%)

Gastrointestinal: Nausea (extended-release: 11% to 23%; immediate-release: ≥3%), constipation (extended-release: 5% to 23%; extended-release, adolescents: 9%; immediate-release: ≥3%), vomiting (extended-release: 4% to 21%; immediate-release: 3%)

Miscellaneous: Fever (extended-release: 1% to 11%; immediate-release: ≥3%)","Hypersensitivity (eg, anaphylaxis, angioedema) to oxycodone or any component of the formulation; significant respiratory depression; hypercapnia; acute or severe bronchial asthma in an unmonitored setting or in the absence of resuscitative equipment; GI obstruction, including paralytic ileus (known or suspected).

Canadian labeling: Additional contraindications (not in US labeling): Hypersensitivity to other opioids; suspected surgical abdomen (eg, acute appendicitis or pancreatitis); any disease/condition that affects bowel transit; mild pain that can be managed with other pain medications (immediate release, suppository); mild, intermittent or short duration pain that can be managed with other pain medications or acute pain (extended release); chronic obstructive airway; status asthmaticus; cor pulmonale; acute alcoholism; delirium tremens; convulsive disorders; severe CNS depression; increased cerebrospinal or intracranial pressure; head injury; monoamine oxidase (MAO) inhibitors (concomitant use or within 14 days of therapy); pregnant women or during labor and delivery; breastfeeding.","Monitor for effectiveness of pain relief. Monitor blood pressure, CNS and respiratory status, and degree of sedation at beginning of therapy and periodically thereafter. Assess patient's physical and/or psychological dependence. For inpatients, implement safety measures (eg, side rails up, call light within reach, instructions to call for assistance). Discontinue slowly after prolonged use. Monitor patient for unintentional or intentional potential for overdose or medication misuse. Monitor for symptoms of opioid withdrawal. Monitor urine toxicology screen results.

",
Oxycodone-acetaminophen (percocet),,,,,,,,,,
Pantoprazole magnesium tab enteric,40mg,40mg,,"PPI, subsittuted benzimidazole","gastroesophageal reflux, zollnger ellison syndrome","PPI, suppress gastric acid secretion of parietal cell H+/K+ pump","fractures
lupus erythematosus (autoimmune disease)
pantoprazole by itself: hypomagneisum (prolong QTc)
enteric infections
fundic gland polyps",rilpivirine,"labs
bloody diarrhea (C. difficile monitoring)",
PARoxetine,,"Major depressive disorder (unipolar):

Immediate release: Oral: Initial: 20 mg once daily; may increase dose based on response and tolerability in increments of 10 to 20 mg/day at intervals ≥1 week to a maximum of 50 mg/day (Hirsch 2021b).

Extended release: Oral: Initial: 25 mg once daily; may increase dose based on response and tolerability in increments of 12.5 mg/day at intervals ≥1 week to a maximum of 62.5 mg/day.",,"Antidepressant, Selective Serotonin Reuptake Inhibitor","Generalized anxiety disorder (immediate release): Treatment of generalized anxiety disorder.

Major depressive disorder (unipolar) (immediate and extended release): Treatment of unipolar major depressive disorder.

Obsessive-compulsive disorder (immediate release): Treatment of obsessions and compulsions in patients with obsessive-compulsive disorder.

Panic disorder (immediate and extended release): Treatment of panic disorder, with or without agoraphobia.

Posttraumatic stress disorder (immediate release): Treatment of posttraumatic stress disorder.

Premenstrual dysphoric disorder (extended release): Treatment of premenstrual dysphoric disorder.

Social anxiety disorder (immediate and extended release): Treatment of social anxiety disorder, also known as social phobia.

Vasomotor symptoms of menopause (immediate release; 7.5 mg capsule): Treatment of moderate to severe vasomotor symptoms associated with menopause.","Paroxetine is a selective serotonin reuptake inhibitor, chemically unrelated to tricyclic, tetracyclic, or other antidepressants; presumably, the inhibition of serotonin reuptake from brain synapse stimulated serotonin activity in the brain","​Activation of mania or hypomania
​Bleeding risk
​Fragility fractures
​Hyponatremia
​Ocular effects
​Serotonin syndrome
​Sexual dysfunction
​Suicidal thinking and behavior
​Withdrawal syndrome","Hypersensitivity (eg, anaphylaxis, angioedema, Stevens-Johnson syndrome) to paroxetine or any component of the formulation; concurrent use with or within 14 days of monoamine oxidase inhibitors (including linezolid or methylene blue IV); concomitant use with pimozide or thioridazine; pregnancy (Brisdelle only).","Check ordered labs and report abnormalities. Monitor for therapeutic effectiveness (mental status for depression, suicide ideation, social functioning, mania, or panic attacks). Check pregnancy status and educate patients of childbearing age on the importance of not becoming pregnant and reliable birth control while on this medicine. Monitor for signs of clinical worsening or hypomania. Instruct patient to taper dosage slowly when discontinuing. Instruct patient to determine if this drug makes them too sleepy to perform tasks that require mental alertness, such as driving or operating machinery. Educate patient on signs and symptoms of serotonin syndrome and to report any signs to healthcare provider.",
Polyethelene glycol powder,,17g,,laxative osmotic,constipation occasional,"An osmotic agent, polyethylene glycol 3350 causes water retention in the stool; increases stool frequency.",diarrhea,relaxa in <18yrs,monitor for bowel obstruction prior to,
potassium chloride,3000mg,"10-20mEq 2-4x/day PO

20mEq every2-3hrs maximum 10-20mEq/hr",,electrolyte supplement,hypokalemia,"K+ is needed for nerve impulses, heart, brain and other tissus","cardioaryhtmias, hypervolemia, pulmonary edema","Inj: renal impairment with oliguaria, anuria or azotemia, adisson disease, vfib, extensive tissue breakdown, acute dehydration",,
prednisolone,40mg,10-60mg/day,,corticosteroid,antiinflammatory,"supresses polymorphonuclear leukocytes and reversal of increaed capillary permeability, reduces volume and activity of immune system",,"hepatitis, herpes, shingles, varicella, unctrolled active infections, uncontrolled psychotic states","monitor glc for patietnts with diabets. monitor weight and report, signs of infection, visual changes",
QUEetiapine,25mg,25mg for agitation up to 75mg twice daily,,second generation atypical antipsychotic,"bipolar disorder, major deprepssive disorder, schizophrenia",dibenzothiazepine atypical antipsychotic. Effect mediated thorugh a combination of dopamine type 2 and serotonin type 2 antagonism.,"anticholingeric effects, cataracts, dyslipidemia, EPS, hematologic abnormalities, hyperglycemia, hypothyroidism, mortality in older adults, neuroleptic mlaginant syndrome, orthostatic hypotension, QT prolongation, sedation, sexual dysfunction, temperature dysregulation, weight gain",,"check vitals, height and weight as ordered, monitor for depression or suicidial ideation.

measure for changes in vision",
Ramipril,,"Heart failure with reduced ejection fraction:

Oral: Initial: 1.25 to 2.5 mg once daily; as tolerated, may increase every 1 to 2 weeks to a target dose of 10 mg once daily (ACC/AHA [Yancy 2013]; ACC/AHA/HFSA [Yancy 2017]). In hospitalized patients, the dose may be titrated at 1- to 2-day intervals (Meyer 2021).

Hypertension:

Note: For patients who warrant combination therapy (BP >20/10 mm Hg above goal or suboptimal response to initial monotherapy), may use with another appropriate agent (eg, long-acting dihydropyridine calcium channel blocker or thiazide diuretic) (ACC/AHA [Whelton 2018]).

Oral: Initial: 2.5 mg once daily; evaluate response every 2 to 4 weeks and titrate dose as needed up to 20 mg/day in 1 or 2 divided doses (ACC/AHA [Whelton 2018]).",,Angiotensin-Converting Enzyme (ACE) Inhibitor; Antihypertensive,"Heart failure with reduced ejection fraction: Treatment of heart failure after myocardial infarction (MI).

Hypertension: Management of hypertension.

Reduction in risk of myocardial infarction, stroke, and death from cardiovascular causes: To reduce the risk of MI, stroke, and death in patients ≥55 years of age at high risk of developing major cardiovascular events.","Ramipril is an ACE inhibitor which prevents the formation of angiotensin II from angiotensin I and exhibits pharmacologic effects that are similar to captopril. Ramipril must undergo enzymatic saponification by esterases in the liver to its biologically active metabolite, ramiprilat. The pharmacodynamic effects of ramipril result from the high-affinity, competitive, reversible binding of ramiprilat to angiotensin-converting enzyme, thus preventing the formation of the potent vasoconstrictor angiotensin II. This isomerized enzyme-inhibitor complex has a slow rate of dissociation, which results in high potency and a long duration of action; a CNS mechanism may also be involved in the hypotensive effect as angiotensin II increases adrenergic outflow from CNS; vasoactive kallikreins may be decreased in conversion to active hormones by ACE inhibitors, thus reducing blood pressure","Cardiovascular: Hypotension (11%)

Respiratory: Increased cough (7% to 12%)","Hypersensitivity to ramipril, other ACE inhibitors, or any component of the formulation; hereditary/idiopathic angioedema or history of angioedema related to previous treatment with an ACE inhibitor; concomitant use with aliskiren in patients with diabetes mellitus; concomitant use or within 36 hours of switching to or from a neprilysin inhibitor (eg, sacubitril).

Canadian labeling: Additional contraindications (not in US labeling): Hemodynamically relevant bilateral renal artery stenosis or unilateral in the single kidney; hypotensive or hemodynamically unstable states; concomitant use with aliskiren in patients with moderate to severe renal impairment (GFR <60 mL/minute/1.73 m2), hyperkalemia (>5 mMol/L) or congestive heart failure who are hypotensive; concomitant use with angiotensin II receptor blockers (ARBs) in patients with diabetes end organ damage, moderate to severe renal impairment (GFR <60 mL/minute/1.73 m2), hyperkalemia (>5 mMol/L) or congestive heart failure who are hypotensive; combination with extracorporeal treatments leading to contact of blood with negatively charged surfaces (dialysis or hemofiltration with certain high-flux [eg, polyacrylonitrile] membranes and low-density lipoprotein apheresis with dextran); pregnancy; breastfeeding.","Check ordered labs and report abnormalities. Monitor blood pressure. Monitor for signs of angioedema. Instruct women of child-bearing age to notify provider immediately for pregnancy.
",
rifaximin,550mg,"550mg twice daily, 5-10 days",,rifamycin,"hepatic encephalopathy, irritable bowel syndrome, traveler's diarrhea",inhibits RNA synthesis by binding to bacterial DNA depdnent RNA polymerase -> decrease colonic demainating bacteria that produce ammonia,"peripheral edema, GI nausea, ascites, dizziness and fatigue",,monitor for bloody diarrheand C.difficile,
rivaroxaban (Xarelto) **high alert,,20mg,,anticoagulant; factor Xa inhibitor,venous thromboembolism (DVT or pulmonary embolism),inhibits platelet activation and fibrin clot formation via inhibiting FXa in both intrinsic and extrinsic pathways,"Major hemmorrhage, spinal or epdirual hematomas",,"**Monitor for bleeding esp. for older patients, monitor PLT count before giving",
rosuvastatin (crestor),,"High-intensity therapy: Oral: Initial: 20 or 40 mg once daily; if 20 mg once daily is initiated and tolerated, increase to 40 mg once daily (ACC/AHA [Grundy 2019]; Rosenson 2020a).",,"Antilipemic Agent, HMG-CoA Reductase Inhibitor","Familial hypercholesterolemia:

Pediatric (excluding Ezallor): Adjunct to diet to reduce total cholesterol, LDL-C, and apoB levels in children and adolescents 8 to 17 years of age with heterozygous familial hypercholesterolemia (HeFH) if after an adequate trial of diet therapy the following findings are present: LDL-C greater than 190 mg/dL or greater than 160 mg/dL and there is a positive family history of premature cardiovascular disease or 2 or more other cardiovascular disease risk factors; adjunct to diet to reduce LDL-C, total cholesterol, nonHDL-C, and apoB in children and adolescents 7 to 17 years of age with homozygous familial hypercholesterolemia (HoFH), either alone or with other lipid-lowering treatments (eg, LDL apheresis).

Adult: To reduce LDL-C, total cholesterol, and apoB in adults with familial hypercholesterolemia as an adjunct to other lipid-lowering treatments (eg, LDL apheresis) or alone if such treatments are unavailable.","Inhibitor of 3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) reductase, the rate-limiting enzyme in cholesterol synthesis (reduces the production of mevalonic acid from HMG-CoA); this then results in a compensatory increase in the expression of LDL receptors on hepatocyte membranes and a stimulation of LDL catabolism. In addition to the ability of HMG-CoA reductase inhibitors to decrease levels of high-sensitivity C-reactive protein (hsCRP), they also possess pleiotropic properties including improved endothelial function, reduced inflammation at the site of the coronary plaque, inhibition of platelet aggregation, and anticoagulant effects (de Denus 2002; Ray 2005).

","Statins are associated with increased serum transaminases and hepatotoxicity (Ref). Asymptomatic transient or persistent increases both <3 or >3 times the ULN in serum transaminases may occur with all statins; the increased serum alanine aminotransferase (ALT) is typically greater than the increase in aspartate aminotransferase (AST) (Ref). One case report of increased liver function tests has also been reported as part of drug rash eosinophilia with systemic symptoms (Ref). Acute hepatotoxicity, often presenting as a drug-induced autoimmune hepatitis, has been documented (Ref).

Upon dose reduction or discontinuation, transaminase levels return to or near pretreatment levels; although, mild elevations resolve with continued use in some cases (Ref). In patients with acute hepatotoxicity, resolution of symptoms usually occurs within 1 to 2 months; however, some cases may not normalize until 5 months after discontinuation (Ref). Chronic liver injury (defined as liver biochemical or histological abnormalities that persisted for 6 months or more after onset) have been reported (Ref).


Statins are associated with several muscle-related effects, including:

• Myalgia (muscle symptoms without significant creatine kinase [CK] elevations; also known as statin-associated muscle symptoms) (Ref)

• Myopathy (defined as unexplained muscle pain or weakness accompanied by a CK concentration >10 times the ULN) (Ref)

• Rhabdomyolysis (CK >40 times the ULN) (Ref) often with acute renal failure secondary to myoglobinuria (Ref)

• Immune-mediated necrotizing myopathy (IMNM) (elevated CK plus the presence of antibodies against HMG-CoA) (Ref)","Hypersensitivity to rosuvastatin or any component of the formulation; active liver disease; unexplained persistent elevations of serum transaminases; pregnancy; breastfeeding.

Canadian labeling: Additional contraindications (not in US labeling): Concomitant administration of cyclosporine or sofosbuvir/velpatasvir/voxilaprevir; use of 40 mg dose in Asian patients, patients with predisposing risk factors for myopathy/rhabdomyolysis (eg, hereditary muscle disorders, history of myotoxicity with other HMG-CoA reductase inhibitors, concomitant use with fibrates or niacin, severe hepatic impairment, severe renal impairment [CrCl <30 mL/minute/1.73 m2], hypothyroidism, alcohol abuse, situations where an increase in rosuvastatin plasma levels may occur).","Check ordered labs and report and abnormalities. Monitor for and educate patient to report signs and symptoms of myopathy (muscle pain, weakness, fatigue). Consider dietary assessment and plan for teaching.",
Salbutemol inh (Ventolin),"100mcg / puff, 2-4 puffs","acute excacerbation = no optimal dose, maybe nebulizer?",,beta 2 agonist,control bronchospasms,relaxes bronchial smooth muscles via beta-2-receptors via little effect on HR,"tremor, excitement, exacerbation of asthma, URT infeciton",tocolytic use in patients at risk of premature labor or threatened abortion,"monitor for S&S of candiasis, infection, mania",
Sennosides,,"Syrup (8.8 mg sennosides/5 mL): 10 to 15 mL (17.6 mg to 26.4 mg sennosides) once daily; maximum: 15 mL (26.4 mg sennosides) twice daily.

Tablets:

8.6 mg sennosides/tablet: Two tablets (17.2 mg sennosides) once daily; maximum: 4 tablets (34.4 mg sennosides) twice daily

15 mg sennosides/tablet: Two tablets (30 mg sennosides) once or twice daily

17.2 mg sennosides/tablet: One tablet (17.2 mg sennosides) once daily; maximum: 2 tablets (34.4 mg sennosides) twice daily

25 mg sennosides/tablet: Two tablets (50 mg sennosides) once or twice daily",,"Laxative, Stimulant",Constipation: Relieves occasional constipation (irregularity); generally causes bowel movement in 6 to 12 hours,"The anthraquinone group of stimulant laxatives includes the plant-derived agents such as senna. Stimulant laxatives typically induce defecation by stimulating peristaltic activity on the intestine by direct action on intestinal mucosa or nerve plexus, therefore increasing motility.","Frequency not defined: Gastrointestinal: Abdominal cramps, diarrhea, nausea, vomiting",,Determine cause of constipation before treating.,
